Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price XOF,Variant Price XAF,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,pilocarpine-200mg-solution,CHLORHYDRATE DE PILOCARPINE 200 mg solution,,Parasympathomimétique direct indiqué pour le traitement des symptômes de la sécheresse buccale.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-PIL-011,,,,TRUE,FALSE,,,,,,,,,4100,4100,FALSE,FALSE,,
,atorvastatine-40mg-comprime,ATORVASTATINE 40 mg comprimé,,Statine indiquée pour réduire le cholestérol total et prévenir les événements cardiovasculaires.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-ATO-012,,,,TRUE,FALSE,,,,,,,,,4200,4200,FALSE,FALSE,,
,sulfate-de-zinc-gel,"SULFATE DE ZINC 0,5 g gel",,Gel à base de zinc indiqué pour la protection et la cicatrisation des irritations cutanées.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-ZIN-013,,,,FALSE,FALSE,,,,,,,,,1500,1500,FALSE,FALSE,,
,dutasteride-0-5mg-capsule,"DUTASTERIDE 0,5 mg capsule",,Inhibiteur de la 5-alpha réductase indiqué pour le traitement des symptômes de l'hypertrophie bénigne de la prostate.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-DUT-014,,,,FALSE,FALSE,,,,,,,,,5800,5800,FALSE,FALSE,,
,glucose-anhydre-15g-solution,GLUCOSE ANHYDRE 15 g solution,,Solution glucidique indiquée pour la réhydratation et l'apport calorique d'urgence ou en cas d'hypoglycémie.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-GLU-015,,,,TRUE,FALSE,,,,,,,,,1100,1100,FALSE,FALSE,,
,rivastigmine-1-5mg-gelule,"RIVASTIGMINE 1,5 mg gélule",,Anticholinestérasique indiqué dans le traitement symptomatique de la maladie d'Alzheimer.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-RIV-016,,,,FALSE,FALSE,,,,,,,,,4800,4800,FALSE,FALSE,,
,paracetamol-500mg-comprime,PARACETAMOL 500 mg comprimé,,Antalgique et antipyrétique de première intention indiqué en cas de douleur et/ou de fièvre.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-PAR-017,,,,FALSE,FALSE,,,,,,,,,1200,1200,FALSE,FALSE,,
,paracetamol-codeine-comprime,PHOSPHATE DE CODEINE 30 mg / PARACETAMOL comprimé,,Association antalgique de niveau 2 indiquée pour les douleurs modérées à sévères ne répondant pas aux antalgiques seuls.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-COD-018,,,,FALSE,FALSE,,,,,,,,,2400,2400,FALSE,FALSE,,
,thiopental-sodique-poudre,THIOPENTAL SODIQUE poudre pour solution injectable,,"Anesthésique général intraveineux à action rapide, utilisé pour l'induction de l'anesthésie.",published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-THI-019,,,,FALSE,FALSE,,,,,,,,,14500,14500,FALSE,FALSE,,
,thiopental-500mg-flacon-poudre,THIOPENTAL 500 mg flacon poudre,,Anesthésique général intraveineux d'action rapide utilisé pour l'induction en milieu hospitalier.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-THI-020,,,,FALSE,FALSE,,,,,,,,,12500,12500,FALSE,FALSE,,
,chlorure-de-sodium-5-85g-solution,CHLORURE DE SODIUM 5.85 g solution,,Solution saline concentrée pour rééquilibrage électrolytique et apports ioniques.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-SOD-021,,,,FALSE,FALSE,,,,,,,,,900,900,FALSE,FALSE,,
,ciprofloxacine-250mg-comprime,CIPROFLOXACINE 250 mg comprimé,,Antibiotique de la famille des fluoroquinolones indiqué dans le traitement des infections bactériennes sévères.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-CIP-022,,,,FALSE,FALSE,,,,,,,,,3100,3100,FALSE,FALSE,,
,nitrate-de-fer-200mg-capsule,NITRATE DE FER 200 mg capsule,,Supplémentation martiale indiquée pour la prévention et le traitement des anémies ferriprives.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-FER-023,,,,FALSE,FALSE,,,,,,,,,2400,2400,FALSE,FALSE,,
,fenticonazole-175-7mg-capsule,FENTICONAZOLE 175.7 mg capsule,,Antifongique local indiqué dans le traitement des candidoses vaginales.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-FEN-024,,,,FALSE,FALSE,,,,,,,,,3500,3500,FALSE,FALSE,,
,gelsemium-pc-granules,GELSEMIUM PC granules,,"Souche homéopathique traditionnellement conseillée en cas d'anxiété, de trac ou d'états fébriles.",published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-GEL-026,,,,FALSE,FALSE,,,,,,,,,1800,1800,FALSE,FALSE,,
,carvedilol-25mg-comprime,CARVEDILOL 25 mg comprimé,,Bêta-bloquant indiqué dans le traitement de l'hypertension artérielle et de l'insuffisance cardiaque.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-CAR-027,,,,TRUE,FALSE,,,,,,,,,4600,4600,FALSE,FALSE,,
,levocarnitine-1000mg-ampoule,LEVOCARNITINE 1000 mg ampoule solution,,Indiqué dans le traitement des déficits primaires et secondaires en carnitine.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-LEV-028,,,,TRUE,FALSE,,,,,,,,,7200,7200,FALSE,FALSE,,
,pregabaline-300mg-gelule,PREGABALINE 300 mg gélule,,Anti-épileptique indiqué dans le traitement des douleurs neuropathiques périphériques et du trouble anxieux généralisé.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-PRE-029,,,,TRUE,FALSE,,,,,,,,,9500,9500,FALSE,FALSE,,
,entecavir-1mg-comprime,ENTECAVIR 1 mg comprimé,,Antiviral indiqué dans le traitement de l'infection chronique par le virus de l'hépatite B (VHB).,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-ENT-030,,,,TRUE,FALSE,,,,,,,,,45000,45000,FALSE,FALSE,,
,perindopril-6-816mg-comprime,"PÉRINDOPRIL 6,816 mg comprimé",,Inhibiteur de l'enzyme de conversion (IEC) indiqué dans l'hypertension artérielle et la prévention cardiovasculaire.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-PER-031,,,,FALSE,FALSE,,,,,,,,,3800,3800,FALSE,FALSE,,
,cromoglicate-2g-collyre,CROMOGLICATE 2 g collyre solution,,Collyre anti-allergique indiqué dans le traitement symptomatique des conjonctivites allergiques.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-CRO-032,,,,FALSE,FALSE,,,,,,,,,1400,1400,FALSE,FALSE,,
,dipyridamole-75mg-comprime,DIPYRIDAMOLE 75 mg comprimé,,Antiagrégant plaquettaire indiqué dans la prévention des accidents thromboemboliques et des AVC.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-DIP-037,,,,FALSE,FALSE,,,,,,,,,3600,3600,FALSE,FALSE,,
,clobetasol-500mcg-mousse,PROPIONATE DE CLOBETASOL 500 mcg mousse,,Corticostéroïde local très puissant indiqué pour le traitement des dermatoses sévères du cuir chevelu.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-CLO-038,,,,FALSE,FALSE,,,,,,,,,4800,4800,FALSE,FALSE,,
,silodosine-8mg-gelule,SILODOSINE 8 mg gélule,,Alpha-bloquant indiqué pour le traitement des signes fonctionnels de l'hypertrophie bénigne de la prostate.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-SIL-040,,,,FALSE,FALSE,,,,,,,,,5400,5400,FALSE,FALSE,,
,trinitrine-15-7mg-dispositif,TRINITRINE 15.7 mg dispositif transdermique,,Dérivé nitré sous forme de patch indiqué dans la prophylaxie de l'angor (angine de poitrine).,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-TRI-041,,,,FALSE,FALSE,,,,,,,,,6200,6200,FALSE,FALSE,,
,dorzolamide-20mg-collyre,DORZOLAMIDE 20 mg collyre solution,,Inhibiteur de l'anhydrase carbonique indiqué pour réduire la pression intraoculaire élevée (glaucome).,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-DOR-042,,,,FALSE,FALSE,,,,,,,,,3100,3100,FALSE,FALSE,,
,riociguat-1-5mg-comprime,RIOCIGUAT 1.5 mg comprimé,,Stimulateur de la guanylate cyclase soluble indiqué dans l'hypertension pulmonaire thromboembolique chronique.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-RIO-043,,,,TRUE,FALSE,,,,,,,,,95000,95000,FALSE,FALSE,,
,paracetamol-1000mg-comprime,PARACETAMOL 1000 mg comprimé,,Antalgique et antipyrétique de première intention indiqué en cas de douleurs d'intensité modérée.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-PAR-045,,,,TRUE,FALSE,,,,,,,,,1500,1500,FALSE,FALSE,,
,glibenclamide-5mg-comprime,GLIBENCLAMIDE 5 mg comprimé,,Sulfamide hypoglycémiant oral indiqué dans le traitement du diabète de type 2.,published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-GLI-047,,,,TRUE,FALSE,,,,,,,,,1800,1800,FALSE,FALSE,,
,gabapentine-400mg-gelule,GABAPENTINE 400 mg gélule,,"Anti-épileptique indiqué dans le traitement des douleurs neuropathiques périphériques (ex: zona, diabète).",published,,,,,,,,,,,,,,,TRUE,Boite,PHARMA-GAB-049,,,,TRUE,FALSE,,,,,,,,,5800,5800,FALSE,FALSE,,
